('49280', (('11', '1.5', '1231676352'), 'Fantasy'))
('49280', (('4196', '4.0', '1249855531'), 'Thriller'))
('5589', (('4294', '4.0', '1328065156'), 'Music'))
('5589', (('4294', '4.0', '1328065156'), 'Comedy'))
('5589', (('4294', '4.0', '1328065156'), 'Family'))
('5589', (('4323', '0.5', '1081780954'), 'Music'))
('5589', (('4323', '0.5', '1081780954'), 'Comedy'))
('5589', (('4323', '0.5', '1081780954'), 'Family'))
('49280', (('4493', '3.0', '1321769020'), 'Fantasy'))
('49280', (('4493', '3.0', '1321769020'), 'Action'))
('49280', (('4493', '3.0', '1321769020'), 'Thriller'))
('49280', (('5047', '5.0', '1228072108'), 'Fantasy'))
('49280', (('5047', '5.0', '1228072108'), 'Action'))
('49280', (('5047', '5.0', '1228072108'), 'Thriller'))
('49280', (('5243', '3.5', '1189016177'), 'Fantasy'))
('49280', (('5243', '3.5', '1189016177'), 'Action'))
('49280', (('5243', '3.5', '1189016177'), 'Thriller'))
('49280', (('5300', '2.0', '1300146178'), 'Fantasy'))
('49280', (('5300', '2.0', '1300146178'), 'Action'))
('49280', (('5300', '2.0', '1300146178'), 'Thriller'))
('49280', (('5527', '3.0', '1346913897'), 'Fantasy'))
('49280', (('5527', '3.0', '1346913897'), 'Action'))
('49280', (('5527', '3.0', '1346913897'), 'Thriller'))
('49280', (('5662', '1.5', '1171890425'), 'Fantasy'))
('49280', (('5662', '1.5', '1171890425'), 'Action'))
('49280', (('5662', '1.5', '1171890425'), 'Thriller'))
('49280', (('5915', '3.0', '1320941787'), 'Fantasy'))
('49280', (('5915', '3.0', '1320941787'), 'Action'))
('49280', (('5915', '3.0', '1320941787'), 'Thriller'))
('49280', (('6025', '5.0', '1164502480'), 'Fantasy'))
('49280', (('6025', '5.0', '1164502480'), 'Action'))
('49280', (('6025', '5.0', '1164502480'), 'Thriller'))
('49280', (('6043', '5.0', '1176173132'), 'Fantasy'))
('49280', (('6043', '5.0', '1176173132'), 'Action'))
('49280', (('6043', '5.0', '1176173132'), 'Thriller'))
('49280', (('6064', '3.5', '1252456646'), 'Fantasy'))
('49280', (('6064', '3.5', '1252456646'), 'Action'))
('49280', (('6064', '3.5', '1252456646'), 'Thriller'))
('5589', (('6357', '3.5', '1111813692'), 'Music'))
('5589', (('6357', '3.5', '1111813692'), 'Comedy'))
('5589', (('6357', '3.5', '1111813692'), 'Family'))
('49280', (('7155', '3.0', '1468471120'), 'Fantasy'))
('49280', (('7155', '3.0', '1468471120'), 'Action'))
('49280', (('7155', '3.0', '1468471120'), 'Thriller'))
('5589', (('7862', '2.0', '1034742975'), 'Music'))
('5589', (('7862', '2.0', '1034742975'), 'Comedy'))
('5589', (('7862', '2.0', '1034742975'), 'Family'))
('49280', (('8273', '3.0', '1457330010'), 'Fantasy'))
('49280', (('8273', '3.0', '1457330010'), 'Action'))
('49280', (('8273', '3.0', '1457330010'), 'Thriller'))
('49280', (('8287', '3.5', '1460482052'), 'Fantasy'))
('49280', (('8287', '3.5', '1460482052'), 'Action'))
('49280', (('8287', '3.5', '1460482052'), 'Thriller'))
('49280', (('8563', '3.0', '1167710085'), 'Fantasy'))
('49280', (('8563', '3.0', '1167710085'), 'Action'))
('49280', (('8563', '3.0', '1167710085'), 'Thriller'))
('5589', (('8659', '3.0', '1031087948'), 'Music'))
('5589', (('8659', '3.0', '1031087948'), 'Comedy'))
('5589', (('8659', '3.0', '1031087948'), 'Family'))
('111109', (('8659', '3.0', '1399338082'), 'Drama'))
('5589', (('8667', '3.5', '1053273469'), 'Music'))
('5589', (('8667', '3.5', '1053273469'), 'Comedy'))
('5589', (('8667', '3.5', '1053273469'), 'Family'))
('5589', (('9368', '5.0', '1172977766'), 'Music'))
('5589', (('9368', '5.0', '1172977766'), 'Comedy'))
('5589', (('9368', '5.0', '1172977766'), 'Family'))
('5589', (('9788', '2.0', '1046887239'), 'Music'))
('5589', (('9788', '2.0', '1046887239'), 'Comedy'))
('5589', (('9788', '2.0', '1046887239'), 'Family'))
('49280', (('9788', '3.5', '1180012255'), 'Fantasy'))
('49280', (('9788', '3.5', '1180012255'), 'Action'))
('49280', (('9788', '3.5', '1180012255'), 'Thriller'))
('5589', (('10223', '3.0', '1031102160'), 'Music'))
('5589', (('10223', '3.0', '1031102160'), 'Comedy'))
('5589', (('10223', '3.0', '1031102160'), 'Family'))
('5589', (('10542', '3.0', '1044051873'), 'Music'))
('5589', (('10542', '3.0', '1044051873'), 'Comedy'))
('5589', (('10542', '3.0', '1044051873'), 'Family'))
('5589', (('10690', '5.0', '1037753675'), 'Music'))
('5589', (('10690', '5.0', '1037753675'), 'Comedy'))
('5589', (('10690', '5.0', '1037753675'), 'Family'))
('49280', (('11030', '2.0', '1177244678'), 'Fantasy'))
('49280', (('11030', '2.0', '1177244678'), 'Action'))
('49280', (('11030', '2.0', '1177244678'), 'Thriller'))
('49280', (('11061', '2.5', '1179008244'), 'Fantasy'))
('49280', (('11061', '2.5', '1179008244'), 'Action'))
('49280', (('11061', '2.5', '1179008244'), 'Thriller'))
('5589', (('11704', '4.0', '1048646415'), 'Music'))
('5589', (('11704', '4.0', '1048646415'), 'Comedy'))
('5589', (('11704', '4.0', '1048646415'), 'Family'))
('5589', (('11852', '2.5', '1089639643'), 'Music'))
('5589', (('11852', '2.5', '1089639643'), 'Comedy'))
('5589', (('11852', '2.5', '1089639643'), 'Family'))
('49280', (('11922', '3.5', '1210976355'), 'Fantasy'))
('49280', (('11922', '3.5', '1210976355'), 'Action'))
('49280', (('11922', '3.5', '1210976355'), 'Thriller'))
('49280', (('12072', '1.5', '1182502233'), 'Fantasy'))
('49280', (('12072', '1.5', '1182502233'), 'Action'))
('49280', (('12072', '1.5', '1182502233'), 'Thriller'))
('49280', (('12837', '3.0', '1420262542'), 'Fantasy'))
('49280', (('12837', '3.0', '1420262542'), 'Action'))
('49280', (('12837', '3.0', '1420262542'), 'Thriller'))
('49280', (('12845', '4.0', '1267403661'), 'Fantasy'))
('49280', (('12845', '4.0', '1267403661'), 'Action'))
('49280', (('12845', '4.0', '1267403661'), 'Thriller'))
('5589', (('12962', '3.0', '1032153033'), 'Music'))
('5589', (('12962', '3.0', '1032153033'), 'Comedy'))
('5589', (('12962', '3.0', '1032153033'), 'Family'))
('49280', (('13000', '4.0', '1416685014'), 'Fantasy'))
('49280', (('13000', '4.0', '1416685014'), 'Action'))
('49280', (('13000', '4.0', '1416685014'), 'Thriller'))
('5589', (('13222', '2.0', '1111637881'), 'Music'))
('5589', (('13222', '2.0', '1111637881'), 'Comedy'))
('5589', (('13222', '2.0', '1111637881'), 'Family'))
('49280', (('13454', '4.5', '1173605395'), 'Fantasy'))
('49280', (('13454', '4.5', '1173605395'), 'Action'))
('49280', (('13454', '4.5', '1173605395'), 'Thriller'))
('5589', (('13839', '3.0', '1182653365'), 'Music'))
('5589', (('13839', '3.0', '1182653365'), 'Comedy'))
('5589', (('13839', '3.0', '1182653365'), 'Family'))
('5589', (('14308', '3.0', '1062874824'), 'Music'))
('5589', (('14308', '3.0', '1062874824'), 'Comedy'))
('5589', (('14308', '3.0', '1062874824'), 'Family'))
('49280', (('14794', '4.5', '1258143608'), 'Fantasy'))
('49280', (('14794', '4.5', '1258143608'), 'Action'))
('49280', (('14794', '4.5', '1258143608'), 'Thriller'))
('49280', (('14847', '3.5', '1408138112'), 'Fantasy'))
('49280', (('14847', '3.5', '1408138112'), 'Action'))
('49280', (('14847', '3.5', '1408138112'), 'Thriller'))
('49280', (('14974', '1.0', '1468620326'), 'Fantasy'))
('49280', (('14974', '1.0', '1468620326'), 'Action'))
('49280', (('14974', '1.0', '1468620326'), 'Thriller'))
('5589', (('15038', '1.0', '1041617221'), 'Music'))
('5589', (('15038', '1.0', '1041617221'), 'Comedy'))
('5589', (('15038', '1.0', '1041617221'), 'Family'))
('49280', (('15128', '3.5', '1352976093'), 'Fantasy'))
('49280', (('15128', '3.5', '1352976093'), 'Action'))
('49280', (('15128', '3.5', '1352976093'), 'Thriller'))
('49280', (('16481', '3.5', '1179866208'), 'Fantasy'))
('49280', (('16481', '3.5', '1179866208'), 'Action'))
('49280', (('16481', '3.5', '1179866208'), 'Thriller'))
('5589', (('16865', '3.0', '1031676372'), 'Music'))
('5589', (('16865', '3.0', '1031676372'), 'Comedy'))
('5589', (('16865', '3.0', '1031676372'), 'Family'))
('5589', (('17211', '4.0', '1046127912'), 'Music'))
('5589', (('17211', '4.0', '1046127912'), 'Comedy'))
('5589', (('17211', '4.0', '1046127912'), 'Family'))
('49280', (('17211', '3.5', '1171576325'), 'Fantasy'))
('49280', (('17211', '3.5', '1171576325'), 'Action'))
('49280', (('17211', '3.5', '1171576325'), 'Thriller'))
('49280', (('17573', '3.5', '1269228460'), 'Fantasy'))
('49280', (('17573', '3.5', '1269228460'), 'Action'))
('49280', (('17573', '3.5', '1269228460'), 'Thriller'))
('49280', (('17936', '3.5', '1256698770'), 'Fantasy'))
('49280', (('17936', '3.5', '1256698770'), 'Action'))
('49280', (('17936', '3.5', '1256698770'), 'Thriller'))
('5589', (('18056', '4.0', '1032051666'), 'Music'))
('5589', (('18056', '4.0', '1032051666'), 'Comedy'))
('5589', (('18056', '4.0', '1032051666'), 'Family'))
('49280', (('18155', '5.0', '1166306873'), 'Fantasy'))
('49280', (('18155', '5.0', '1166306873'), 'Action'))
('49280', (('18155', '5.0', '1166306873'), 'Thriller'))
('49280', (('18206', '2.5', '1185160069'), 'Fantasy'))
('49280', (('18206', '2.5', '1185160069'), 'Action'))
('49280', (('18206', '2.5', '1185160069'), 'Thriller'))
('5589', (('18274', '4.0', '1032876867'), 'Music'))
('5589', (('18274', '4.0', '1032876867'), 'Comedy'))
('5589', (('18274', '4.0', '1032876867'), 'Family'))
('49280', (('18603', '3.5', '1418566564'), 'Fantasy'))
('49280', (('18603', '3.5', '1418566564'), 'Action'))
('49280', (('18603', '3.5', '1418566564'), 'Thriller'))
('5589', (('19638', '2.0', '1177930313'), 'Music'))
('5589', (('19638', '2.0', '1177930313'), 'Comedy'))
('5589', (('19638', '2.0', '1177930313'), 'Family'))
('5589', (('19690', '4.0', '1045891233'), 'Music'))
('5589', (('19690', '4.0', '1045891233'), 'Comedy'))
('5589', (('19690', '4.0', '1045891233'), 'Family'))
('49280', (('19843', '4.0', '1177090904'), 'Fantasy'))
('49280', (('19843', '4.0', '1177090904'), 'Action'))
('49280', (('19843', '4.0', '1177090904'), 'Thriller'))
('49280', (('20275', '2.0', '1212298210'), 'Fantasy'))
('49280', (('20275', '2.0', '1212298210'), 'Action'))
('49280', (('20275', '2.0', '1212298210'), 'Thriller'))
('49280', (('20608', '3.5', '1182617564'), 'Fantasy'))
('49280', (('20608', '3.5', '1182617564'), 'Action'))
('49280', (('20608', '3.5', '1182617564'), 'Thriller'))
('49280', (('20738', '4.0', '1183745445'), 'Fantasy'))
('49280', (('20738', '4.0', '1183745445'), 'Action'))
('49280', (('20738', '4.0', '1183745445'), 'Thriller'))
('5589', (('20853', '3.0', '1035823601'), 'Music'))
('5589', (('20853', '3.0', '1035823601'), 'Comedy'))
('5589', (('20853', '3.0', '1035823601'), 'Family'))
('49280', (('21565', '4.0', '1204480580'), 'Fantasy'))
('49280', (('21565', '4.0', '1204480580'), 'Action'))
('49280', (('21565', '4.0', '1204480580'), 'Thriller'))
('49280', (('22874', '3.5', '1239245553'), 'Fantasy'))
('49280', (('22874', '3.5', '1239245553'), 'Action'))
('49280', (('22874', '3.5', '1239245553'), 'Thriller'))
('49280', (('22883', '5.0', '1184041186'), 'Fantasy'))
('49280', (('22883', '5.0', '1184041186'), 'Action'))
('49280', (('22883', '5.0', '1184041186'), 'Thriller'))
('49280', (('23040', '2.5', '1327600697'), 'Fantasy'))
('49280', (('23040', '2.5', '1327600697'), 'Action'))
('49280', (('23040', '2.5', '1327600697'), 'Thriller'))
('5589', (('23405', '3.0', '1036899400'), 'Music'))
('5589', (('23405', '3.0', '1036899400'), 'Comedy'))
('5589', (('23405', '3.0', '1036899400'), 'Family'))
('49280', (('24217', '4.0', '1199030753'), 'Fantasy'))
('49280', (('24217', '4.0', '1199030753'), 'Action'))
('49280', (('24217', '4.0', '1199030753'), 'Thriller'))
('49280', (('24859', '0.5', '1165689412'), 'Fantasy'))
('49280', (('24859', '0.5', '1165689412'), 'Action'))
('49280', (('24859', '0.5', '1165689412'), 'Thriller'))
('5589', (('25010', '4.0', '1055687732'), 'Music'))
('5589', (('25010', '4.0', '1055687732'), 'Comedy'))
('5589', (('25010', '4.0', '1055687732'), 'Family'))
('5589', (('25066', '3.5', '1182218115'), 'Music'))
('5589', (('25066', '3.5', '1182218115'), 'Comedy'))
('5589', (('25066', '3.5', '1182218115'), 'Family'))
('5589', (('25117', '4.0', '1050783461'), 'Music'))
('5589', (('25117', '4.0', '1050783461'), 'Comedy'))
('5589', (('25117', '4.0', '1050783461'), 'Family'))
('49280', (('25700', '3.0', '1275275013'), 'Fantasy'))
('49280', (('25700', '3.0', '1275275013'), 'Action'))
('49280', (('25700', '3.0', '1275275013'), 'Thriller'))
('49280', (('26887', '3.0', '1164825727'), 'Fantasy'))
('49280', (('26887', '3.0', '1164825727'), 'Action'))
('49280', (('26887', '3.0', '1164825727'), 'Thriller'))
('49280', (('27072', '4.0', '1231647937'), 'Fantasy'))
('49280', (('27072', '4.0', '1231647937'), 'Action'))
('49280', (('27072', '4.0', '1231647937'), 'Thriller'))
('49280', (('27328', '3.5', '1182789848'), 'Fantasy'))
('49280', (('27328', '3.5', '1182789848'), 'Action'))
('49280', (('27328', '3.5', '1182789848'), 'Thriller'))
('49280', (('27367', '4.5', '1179164024'), 'Fantasy'))
('49280', (('27367', '4.5', '1179164024'), 'Action'))
('49280', (('27367', '4.5', '1179164024'), 'Thriller'))
('49280', (('27587', '3.0', '1397420855'), 'Fantasy'))
('49280', (('27587', '3.0', '1397420855'), 'Action'))
('49280', (('27587', '3.0', '1397420855'), 'Thriller'))
('49280', (('27816', '4.5', '1188844667'), 'Fantasy'))
('49280', (('27816', '4.5', '1188844667'), 'Action'))
('49280', (('27816', '4.5', '1188844667'), 'Thriller'))
('5589', (('28373', '3.5', '1111461737'), 'Music'))
('5589', (('28373', '3.5', '1111461737'), 'Comedy'))
('5589', (('28373', '3.5', '1111461737'), 'Family'))
('49280', (('29030', '4.0', '1464269568'), 'Fantasy'))
('49280', (('29030', '4.0', '1464269568'), 'Action'))
('49280', (('29030', '4.0', '1464269568'), 'Thriller'))
('5589', (('29231', '4.0', '1047747676'), 'Music'))
('5589', (('29231', '4.0', '1047747676'), 'Comedy'))
('5589', (('29231', '4.0', '1047747676'), 'Family'))
('5589', (('30289', '3.0', '1032634723'), 'Music'))
('5589', (('30289', '3.0', '1032634723'), 'Comedy'))
('5589', (('30289', '3.0', '1032634723'), 'Family'))
('49280', (('30731', '4.0', '1440371096'), 'Fantasy'))
('49280', (('30731', '4.0', '1440371096'), 'Action'))
('49280', (('30731', '4.0', '1440371096'), 'Thriller'))
('5589', (('31227', '5.0', '1036350411'), 'Music'))
('5589', (('31227', '5.0', '1036350411'), 'Comedy'))
('5589', (('31227', '5.0', '1036350411'), 'Family'))
('49280', (('32108', '2.5', '1330827986'), 'Fantasy'))
('49280', (('32108', '2.5', '1330827986'), 'Action'))
('49280', (('32108', '2.5', '1330827986'), 'Thriller'))
('49280', (('32114', '2.5', '1451751248'), 'Fantasy'))
('49280', (('32114', '2.5', '1451751248'), 'Action'))
('49280', (('32114', '2.5', '1451751248'), 'Thriller'))
('5589', (('32711', '3.0', '1035063726'), 'Music'))
('5589', (('32711', '3.0', '1035063726'), 'Comedy'))
('5589', (('32711', '3.0', '1035063726'), 'Family'))
('5589', (('33089', '3.5', '1067197200'), 'Music'))
('5589', (('33089', '3.5', '1067197200'), 'Comedy'))
('5589', (('33089', '3.5', '1067197200'), 'Family'))
('49280', (('33204', '4.0', '1178138826'), 'Fantasy'))
('49280', (('33204', '4.0', '1178138826'), 'Action'))
('49280', (('33204', '4.0', '1178138826'), 'Thriller'))
('111109', (('33940', '2.5', '1405878785'), 'Drama'))
('5589', (('34000', '4.0', '1072785279'), 'Music'))
('5589', (('34000', '4.0', '1072785279'), 'Comedy'))
('5589', (('34000', '4.0', '1072785279'), 'Family'))
('49280', (('34117', '3.0', '1180743273'), 'Fantasy'))
('49280', (('34117', '3.0', '1180743273'), 'Action'))
('49280', (('34117', '3.0', '1180743273'), 'Thriller'))
('49280', (('34248', '3.0', '1263250988'), 'Fantasy'))
('49280', (('34248', '3.0', '1263250988'), 'Action'))
('49280', (('34248', '3.0', '1263250988'), 'Thriller'))
('49280', (('35006', '4.0', '1206674351'), 'Fantasy'))
('49280', (('35006', '4.0', '1206674351'), 'Action'))
('49280', (('35006', '4.0', '1206674351'), 'Thriller'))
('49280', (('35233', '3.5', '1285656670'), 'Fantasy'))
('49280', (('35233', '3.5', '1285656670'), 'Action'))
('49280', (('35233', '3.5', '1285656670'), 'Thriller'))
('5589', (('35578', '4.5', '1306160594'), 'Music'))
('5589', (('35578', '4.5', '1306160594'), 'Comedy'))
('5589', (('35578', '4.5', '1306160594'), 'Family'))
('49280', (('35787', '3.5', '1450585868'), 'Fantasy'))
('49280', (('35787', '3.5', '1450585868'), 'Action'))
('49280', (('35787', '3.5', '1450585868'), 'Thriller'))
('5589', (('36047', '2.0', '1049913598'), 'Music'))
('5589', (('36047', '2.0', '1049913598'), 'Comedy'))
('5589', (('36047', '2.0', '1049913598'), 'Family'))
('49280', (('36175', '4.5', '1180046487'), 'Fantasy'))
('49280', (('36175', '4.5', '1180046487'), 'Action'))
('49280', (('36175', '4.5', '1180046487'), 'Thriller'))
('5589', (('36181', '3.5', '1226176551'), 'Music'))
('5589', (('36181', '3.5', '1226176551'), 'Comedy'))
('5589', (('36181', '3.5', '1226176551'), 'Family'))
('5589', (('36584', '1.5', '1149163152'), 'Music'))
('5589', (('36584', '1.5', '1149163152'), 'Comedy'))
('5589', (('36584', '1.5', '1149163152'), 'Family'))
('5589', (('36677', '3.0', '1056523987'), 'Music'))
('5589', (('36677', '3.0', '1056523987'), 'Comedy'))
('5589', (('36677', '3.0', '1056523987'), 'Family'))
('49280', (('37184', '4.0', '1189811236'), 'Fantasy'))
('49280', (('37184', '4.0', '1189811236'), 'Action'))
('49280', (('37184', '4.0', '1189811236'), 'Thriller'))
('49280', (('37767', '4.5', '1422844305'), 'Fantasy'))
('49280', (('37767', '4.5', '1422844305'), 'Action'))
('49280', (('37767', '4.5', '1422844305'), 'Thriller'))
('5589', (('38096', '2.0', '1101319465'), 'Music'))
('5589', (('38096', '2.0', '1101319465'), 'Comedy'))
('5589', (('38096', '2.0', '1101319465'), 'Family'))
('49280', (('38096', '3.5', '1195737491'), 'Fantasy'))
('49280', (('38096', '3.5', '1195737491'), 'Action'))
('49280', (('38096', '3.5', '1195737491'), 'Thriller'))
('49280', (('38317', '4.0', '1177456631'), 'Fantasy'))
('49280', (('38317', '4.0', '1177456631'), 'Action'))
('49280', (('38317', '4.0', '1177456631'), 'Thriller'))
('5589', (('38525', '4.0', '1049771455'), 'Music'))
('5589', (('38525', '4.0', '1049771455'), 'Comedy'))
('5589', (('38525', '4.0', '1049771455'), 'Family'))
('49280', (('39591', '4.0', '1165024145'), 'Fantasy'))
('49280', (('39591', '4.0', '1165024145'), 'Action'))
('49280', (('39591', '4.0', '1165024145'), 'Thriller'))
('49280', (('40207', '4.0', '1177999655'), 'Fantasy'))
('49280', (('40207', '4.0', '1177999655'), 'Action'))
('49280', (('40207', '4.0', '1177999655'), 'Thriller'))
('5589', (('40275', '1.0', '1034037579'), 'Music'))
('5589', (('40275', '1.0', '1034037579'), 'Comedy'))
('5589', (('40275', '1.0', '1034037579'), 'Family'))
('5589', (('40465', '4.0', '1038803659'), 'Music'))
('5589', (('40465', '4.0', '1038803659'), 'Comedy'))
('5589', (('40465', '4.0', '1038803659'), 'Family'))
('49280', (('40465', '1.5', '1422736863'), 'Fantasy'))
('49280', (('40465', '1.5', '1422736863'), 'Action'))
('49280', (('40465', '1.5', '1422736863'), 'Thriller'))
('5589', (('41017', '3.5', '1072544508'), 'Music'))
('5589', (('41017', '3.5', '1072544508'), 'Comedy'))
('5589', (('41017', '3.5', '1072544508'), 'Family'))
('5589', (('41422', '2.0', '1039371494'), 'Music'))
('5589', (('41422', '2.0', '1039371494'), 'Comedy'))
('5589', (('41422', '2.0', '1039371494'), 'Family'))
('49280', (('41707', '4.0', '1331949019'), 'Fantasy'))
('49280', (('41707', '4.0', '1331949019'), 'Action'))
('49280', (('41707', '4.0', '1331949019'), 'Thriller'))
('5589', (('42623', '3.5', '1054804218'), 'Music'))
('5589', (('42623', '3.5', '1054804218'), 'Comedy'))
('5589', (('42623', '3.5', '1054804218'), 'Family'))
('49280', (('42994', '2.0', '1201448497'), 'Fantasy'))
('49280', (('42994', '2.0', '1201448497'), 'Action'))
('49280', (('42994', '2.0', '1201448497'), 'Thriller'))
('5589', (('43191', '2.0', '1035249783'), 'Music'))
('5589', (('43191', '2.0', '1035249783'), 'Comedy'))
('5589', (('43191', '2.0', '1035249783'), 'Family'))
('5589', (('43264', '3.5', '1075821153'), 'Music'))
('5589', (('43264', '3.5', '1075821153'), 'Comedy'))
('5589', (('43264', '3.5', '1075821153'), 'Family'))
('5589', (('43380', '1.5', '1169918033'), 'Music'))
('5589', (('43380', '1.5', '1169918033'), 'Comedy'))
('5589', (('43380', '1.5', '1169918033'), 'Family'))
('49280', (('43519', '3.5', '1177185213'), 'Fantasy'))
('49280', (('43519', '3.5', '1177185213'), 'Action'))
('49280', (('43519', '3.5', '1177185213'), 'Thriller'))
('45527', (('43537', '3.5', '1299434945'), 'Action'))
('45527', (('43537', '3.5', '1299434945'), 'Mystery'))
('45527', (('43537', '3.5', '1299434945'), 'Thriller'))
('45527', (('43537', '3.5', '1299434945'), 'Horror'))
('49280', (('43537', '3.0', '1212966655'), 'Fantasy'))
('49280', (('43537', '3.0', '1212966655'), 'Action'))
('49280', (('43537', '3.0', '1212966655'), 'Thriller'))
('5589', (('43641', '2.0', '1035603291'), 'Music'))
('5589', (('43641', '2.0', '1035603291'), 'Comedy'))
('5589', (('43641', '2.0', '1035603291'), 'Family'))
('49280', (('44742', '3.0', '1237661271'), 'Fantasy'))
('49280', (('44742', '3.0', '1237661271'), 'Action'))
('49280', (('44742', '3.0', '1237661271'), 'Thriller'))
('49280', (('44966', '3.0', '1192856885'), 'Fantasy'))
('49280', (('44966', '3.0', '1192856885'), 'Action'))
('49280', (('44966', '3.0', '1192856885'), 'Thriller'))
('49280', (('45139', '3.0', '1180160329'), 'Fantasy'))
('49280', (('45139', '3.0', '1180160329'), 'Action'))
('49280', (('45139', '3.0', '1180160329'), 'Thriller'))
('49280', (('45208', '3.5', '1200985424'), 'Fantasy'))
('49280', (('45208', '3.5', '1200985424'), 'Action'))
('49280', (('45208', '3.5', '1200985424'), 'Thriller'))
('5589', (('45266', '3.5', '1093848640'), 'Music'))
('5589', (('45266', '3.5', '1093848640'), 'Comedy'))
('5589', (('45266', '3.5', '1093848640'), 'Family'))
('49280', (('45326', '3.5', '1313026066'), 'Fantasy'))
('49280', (('45326', '3.5', '1313026066'), 'Action'))
('49280', (('45326', '3.5', '1313026066'), 'Thriller'))
('5589', (('45478', '3.0', '1059865798'), 'Music'))
('5589', (('45478', '3.0', '1059865798'), 'Comedy'))
('5589', (('45478', '3.0', '1059865798'), 'Family'))
('5589', (('45484', '4.0', '1041816326'), 'Music'))
('5589', (('45484', '4.0', '1041816326'), 'Comedy'))
('5589', (('45484', '4.0', '1041816326'), 'Family'))
('49280', (('45635', '3.5', '1420443519'), 'Fantasy'))
('49280', (('45635', '3.5', '1420443519'), 'Action'))
('49280', (('45635', '3.5', '1420443519'), 'Thriller'))
('49280', (('45811', '2.0', '1455271873'), 'Fantasy'))
('49280', (('45811', '2.0', '1455271873'), 'Action'))
('49280', (('45811', '2.0', '1455271873'), 'Thriller'))
('49280', (('45897', '3.5', '1198888785'), 'Fantasy'))
('49280', (('45897', '3.5', '1198888785'), 'Action'))
('49280', (('45897', '3.5', '1198888785'), 'Thriller'))
('5589', (('46156', '4.0', '1031788765'), 'Music'))
('5589', (('46156', '4.0', '1031788765'), 'Comedy'))
('5589', (('46156', '4.0', '1031788765'), 'Family'))
('5589', (('46657', '3.5', '1063784483'), 'Music'))
('5589', (('46657', '3.5', '1063784483'), 'Comedy'))
('5589', (('46657', '3.5', '1063784483'), 'Family'))
('49280', (('47253', '2.5', '1165436915'), 'Fantasy'))
('49280', (('47253', '2.5', '1165436915'), 'Action'))
('49280', (('47253', '2.5', '1165436915'), 'Thriller'))
('5589', (('47455', '4.0', '1032239791'), 'Music'))
('5589', (('47455', '4.0', '1032239791'), 'Comedy'))
('5589', (('47455', '4.0', '1032239791'), 'Family'))
('5589', (('47471', '3.0', '1042256496'), 'Music'))
('5589', (('47471', '3.0', '1042256496'), 'Comedy'))
('5589', (('47471', '3.0', '1042256496'), 'Family'))
('49280', (('48049', '3.0', '1349239635'), 'Fantasy'))
('49280', (('48049', '3.0', '1349239635'), 'Action'))
('49280', (('48049', '3.0', '1349239635'), 'Thriller'))
('5589', (('48680', '5.0', '1086447485'), 'Music'))
('5589', (('48680', '5.0', '1086447485'), 'Comedy'))
('5589', (('48680', '5.0', '1086447485'), 'Family'))
